Business Name,City,Total Reviews,Status,Email,Reasons
Blue Bonnet,Denver,1638,DRAFTED,bluebonnetcafe1@yahoo.com,already drafted in prior wave
"City, O' City",Denver,1456,DRAFTED,info@cityocitydenver.com,already drafted in prior wave
Forest Room 5,Denver,412,DRAFTED,info@forestroom5.com,already drafted in prior wave
Pietra's Pizzeria,Wheat Ridge,342,DRAFTED,pietraspizzeriaanditalianrestaurant@gmail.com,already drafted in prior wave
Sam's No. 3,Denver,3289,DRAFTED,downtown@samsno3.com,already drafted in prior wave
Westrail Tap & Grill,Lakewood,487,DRAFTED,westrailtapandgrill@gmail.com,already drafted in prior wave
100% de Agave,Denver,298,DISQUALIFIED,,Closed Feb 2026
1550 Restaurant,Denver,268,DISQUALIFIED,,Sheraton Denver Downtown hotel restaurant
Benihana — Broomfield,Broomfield,1287,DISQUALIFIED,,chain / franchise (EXCLUDE_CHAINS=True)
Big Daddy's Pizza — Colfax,Denver,487,DISQUALIFIED,,Chain location + low signal
Black Bird Public House,Denver,312,DISQUALIFIED,,Low-signal operator
Brittany Hill,Thornton,287,DISQUALIFIED,,Wedgewood Weddings chain venue
Casa Bonita,Lakewood,2847,DISQUALIFIED,,Too-high profile
Cheddar's Scratch Kitchen — Centennial,Centennial,1124,DISQUALIFIED,,chain / franchise (EXCLUDE_CHAINS=True)
City Buffet,Littleton,312,DISQUALIFIED,,"Low-signal, closed/inactive"
El Tapatio Mexican Restaurant — Arvada,Arvada,612,DISQUALIFIED,,6-location local chain; no public contact email
El Tapatio Mexican Restaurant — Lakewood,Lakewood,538,DISQUALIFIED,,6-location local chain; no public contact email
Fusion City,Denver,243,DISQUALIFIED,,Closed July 2024 (replaced by Mr. Chef Asian Bistro)
Gyros Town,Littleton,268,DISQUALIFIED,,"CRM stale: actual Google rating is 4.5★ / 1,164 reviews (per Wanderlog + Google). Not a drift candidate."
Hacienda Colorado — Parker,Parker,678,DISQUALIFIED,,chain / franchise (EXCLUDE_CHAINS=True)
Hey Kiddo,Denver,487,DISQUALIFIED,,Too-high profile
Hibachi Grill & Buffet,Aurora,205,DISQUALIFIED,,CRM address stale; real loc 1026 S Sable
Ho Mei Chinese Restaurant,Denver,342,DISQUALIFIED,,5-location local mini-chain in Denver metro
Kumoya,Denver,321,DISQUALIFIED,,Culinary Creative Group (too high profile)
Lime on Larimer,Denver,732,DISQUALIFIED,,Original 1424 Larimer location closed 2012
Paramount Cafe,Denver,1124,DISQUALIFIED,,Closed 2018
Sam's Dumpling Kitchen,Littleton,215,DISQUALIFIED,,New soft-open; only contact listed is realtor marketing email
Taco House,Littleton,234,DISQUALIFIED,,CRM stale: actual ratings are 4.2★ Google / 3.8★ TripAdvisor. Not a drift candidate.
The Bent Fork,Aurora,356,DISQUALIFIED,,"Aurora closed 2021, Loveland closed Jan 2022"
The Bindery,Denver,612,DISQUALIFIED,,Celebrity chef Linda Hampsten Fox (James Beard semifinalist) = too-high profile
The Cow — Morrison,Morrison,198,DISQUALIFIED,,only 198 reviews (< 200)
The Hampton Social — Denver,Denver,1412,DISQUALIFIED,,chain / franchise (EXCLUDE_CHAINS=True)
The Original Chubby's,Denver,1876,DISQUALIFIED,,CRM stale; confuses with El Chubby's
The Original Chubby's — Aurora,Aurora,595,DISQUALIFIED,,CRM stale; confuses with El Chubby's
The Summit Steakhouse,Aurora,421,DISQUALIFIED,,"Closed Oct 2017 (rebranded Salvage, that closed Jul 2018)"
Tupelo Honey — Denver,Denver,892,DISQUALIFIED,,chain / franchise (EXCLUDE_CHAINS=True)
Upper Deck,Parker,189,DISQUALIFIED,,only 189 reviews (< 200)
